mcd_file,channel,Target,Metal_Tag,Atom,full,ilastik
data/Jan202023_Liver_TMA1_9.mcd,HH3(In113),HH3,In113,113,1,0
data/Jan202023_Liver_TMA1_9.mcd,<EMPTY>(In115),<EMPTY>,In115,115,0,0
data/Jan202023_Liver_TMA1_9.mcd,<EMPTY>(Xe131),<EMPTY>,Xe131,131,0,0
data/Jan202023_Liver_TMA1_9.mcd,<EMPTY>(La139),<EMPTY>,La139,139,0,0
data/Jan202023_Liver_TMA1_9.mcd,aSMA(Pr141),aSMA,Pr141,141,1,0
data/Jan202023_Liver_TMA1_9.mcd,TNFa(Nd142),TNFa,Nd142,142,1,0
data/Jan202023_Liver_TMA1_9.mcd,Iba1(Nd143),Iba1,Nd143,143,1,0
data/Jan202023_Liver_TMA1_9.mcd,NE(Nd144),NE,Nd144,144,1,0
data/Jan202023_Liver_TMA1_9.mcd,CKB(Nd145),CKB,Nd145,145,1,0
data/Jan202023_Liver_TMA1_9.mcd,PDL1(Nd146),PDL1,Nd146,146,1,0
data/Jan202023_Liver_TMA1_9.mcd,CD163(Sm147),CD163,Sm147,147,1,1
data/Jan202023_Liver_TMA1_9.mcd,CD14(Nd148),CD14,Nd148,148,1,1
data/Jan202023_Liver_TMA1_9.mcd,CD11b(Sm149),CD11b,Sm149,149,1,1
data/Jan202023_Liver_TMA1_9.mcd,PD1(Nd150),PD1,Nd150,150,1,0
data/Jan202023_Liver_TMA1_9.mcd,CD31(Eu151),CD31,Eu151,151,1,1
data/Jan202023_Liver_TMA1_9.mcd,CD45(Sm152),CD45,Sm152,152,1,1
data/Jan202023_Liver_TMA1_9.mcd,SORT1(Eu153),SORT1,Eu153,153,1,0
data/Jan202023_Liver_TMA1_9.mcd,CD15(Sm154),CD15,Sm154,154,1,1
data/Jan202023_Liver_TMA1_9.mcd,FoxP3(Gd155),FoxP3,Gd155,155,1,0
data/Jan202023_Liver_TMA1_9.mcd,CD4(Gd156),CD4,Gd156,156,1,1
data/Jan202023_Liver_TMA1_9.mcd,CD204(Gd158),CD204,Gd158,158,1,1
data/Jan202023_Liver_TMA1_9.mcd,NKG2A(Tb159),NKG2A,Tb159,159,1,0
data/Jan202023_Liver_TMA1_9.mcd,CK7(Gd160),CK7,Gd160,160,1,0
data/Jan202023_Liver_TMA1_9.mcd,CD20(Dy161),CD20,Dy161,161,1,1
data/Jan202023_Liver_TMA1_9.mcd,CD8A(Dy162),CD8A,Dy162,162,1,1
data/Jan202023_Liver_TMA1_9.mcd,CD27(Dy163),CD27,Dy163,163,1,1
data/Jan202023_Liver_TMA1_9.mcd,ARG1(Dy164),ARG1,Dy164,164,1,0
data/Jan202023_Liver_TMA1_9.mcd,HLADR(Ho165),HLADR,Ho165,165,1,0
data/Jan202023_Liver_TMA1_9.mcd,EOMES(Er166),EOMES,Er166,166,1,0
data/Jan202023_Liver_TMA1_9.mcd,GRANZYMEB(Er167),GRANZYMEB,Er167,167,1,0
data/Jan202023_Liver_TMA1_9.mcd,Ki67(Er168),Ki67,Er168,168,1,0
data/Jan202023_Liver_TMA1_9.mcd,CItH3(Tm169),CItH3,Tm169,169,1,0
data/Jan202023_Liver_TMA1_9.mcd,CD3(Er170),CD3,Er170,170,1,1
data/Jan202023_Liver_TMA1_9.mcd,TRDC(Yb171),TRDC,Yb171,171,1,0
data/Jan202023_Liver_TMA1_9.mcd,IFNg(Yb172),IFNg,Yb172,172,1,0
data/Jan202023_Liver_TMA1_9.mcd,CD45RO(Yb173),CD45RO,Yb173,173,1,1
data/Jan202023_Liver_TMA1_9.mcd,K818(Yb174),K818,Yb174,174,1,0
data/Jan202023_Liver_TMA1_9.mcd,CD16(Lu175),CD16,Lu175,175,1,1
data/Jan202023_Liver_TMA1_9.mcd,CD11c(Yb176),CD11c,Yb176,176,1,1
data/Jan202023_Liver_TMA1_9.mcd,DNA1(Ir191),DNA1,Ir191,191,1,1
data/Jan202023_Liver_TMA1_9.mcd,DNA2(Ir193),DNA2,Ir193,193,1,1
data/Jan202023_Liver_TMA1_9.mcd,<EMPTY>(Pt194),<EMPTY>,Pt194,194,0,0
data/Jan202023_Liver_TMA1_9.mcd,Vimentin(Pt195),Vimentin,Pt195,195,1,0
data/Jan202023_Liver_TMA1_9.mcd,CD68(Pt196),CD68,Pt196,196,1,1
data/Jan202023_Liver_TMA1_9.mcd,<EMPTY>(Pt198),<EMPTY>,Pt198,198,0,0
data/Jan202023_Liver_TMA1_9.mcd,<EMPTY>(Pb206),<EMPTY>,Pb206,206,0,0
